index,sessionid,tablaid,utalasid,kezdes,befejezes,tipp,tipp1,tipp2,tipp3,tipp4,tipp5,tipp6,tipp7,tipp8,tipp9,tipp10,tipp11,tipp12
28,000BFB801C2393E58489EB2F92B54426,69,6,2021-11-10 13:27:59.51,2021-11-10 13:29:20.615,6,oszlop,asztal,nehéz,rakéta,hotel,szarv,,,,,,
29,000BFB801C2393E58489EB2F92B54426,93,2,2021-11-10 13:29:25.546,2021-11-10 13:30:00.037,3,szél,ruha,király,,,,,,,,,
30,000BFB801C2393E58489EB2F92B54426,50,7,2021-11-10 13:30:03.135,2021-11-10 13:31:16.56,2,pilóta,autó,,,,,,,,,,
31,E920119A90B7393CF7D738FD835F9A31,53,7,2021-11-10 13:30:09.076,2021-11-10 13:30:29.544,2,kormány,puska,,,,,,,,,,
32,E920119A90B7393CF7D738FD835F9A31,50,8,2021-11-10 13:30:47.965,2021-11-10 13:31:23.354,3,fűszer,föld,kenyér,,,,,,,,,
33,E920119A90B7393CF7D738FD835F9A31,37,1,2021-11-10 13:31:39.007,2021-11-10 13:31:56.84,2,szív,élet,,,,,,,,,,
34,BE5ABEA34DF0F3F9BE35CD8EA7B0C4E3,20,4,2021-11-10 13:31:52.618,2021-11-10 13:33:02.608,3,hullám,pilóta,csillag,,,,,,,,,
35,000BFB801C2393E58489EB2F92B54426,65,1,2021-11-10 13:31:56.782,2021-11-10 13:32:10.745,2,csokoládé,édes,,,,,,,,,,
36,E920119A90B7393CF7D738FD835F9A31,39,0,2021-11-10 13:32:11.739,2021-11-10 13:32:44.52,5,háború,rendőr,idegen,haza,lovag,,,,,,,
37,000BFB801C2393E58489EB2F92B54426,77,5,2021-11-10 13:32:14.612,2021-11-10 13:33:00.532,3,szerencse,másol,kritikus,,,,,,,,,
38,6575431E478B796ABAE676004C0C22AA,30,5,2021-11-10 13:32:23.395,2021-11-10 13:34:14.334,3,mese,szellem,oszt,,,,,,,,,
39,000BFB801C2393E58489EB2F92B54426,98,7,2021-11-10 13:33:09.623,2021-11-10 13:34:01.309,2,amazon,gomb,,,,,,,,,,
40,BE5ABEA34DF0F3F9BE35CD8EA7B0C4E3,53,3,2021-11-10 13:33:13.537,2021-11-10 13:34:19.193,7,kormány,bíró,meleg,természet,határ,puska,vonal,,,,,
41,E920119A90B7393CF7D738FD835F9A31,77,2,2021-11-10 13:33:21.363,2021-11-10 13:33:48.813,3,szerencse,fedél,egyenes,,,,,,,,,
42,BE5ABEA34DF0F3F9BE35CD8EA7B0C4E3,44,0,2021-11-10 13:34:30.358,2021-11-10 13:36:01.585,4,vonal,szám,egyenes,homok,,,,,,,,
43,6575431E478B796ABAE676004C0C22AA,9,2,2021-11-10 13:34:30.407,2021-11-10 13:35:42.908,3,benzin,telefon,daru,,,,,,,,,
44,6575431E478B796ABAE676004C0C22AA,22,5,2021-11-10 13:35:59.286,2021-11-10 13:36:40.744,3,jegy,oszt,kerek,,,,,,,,,
45,BE5ABEA34DF0F3F9BE35CD8EA7B0C4E3,38,4,2021-11-10 13:36:10.012,2021-11-10 13:36:23.608,2,béka,tüdő,,,,,,,,,,
46,000BFB801C2393E58489EB2F92B54426,31,2,2021-11-10 13:36:12.076,2021-11-10 13:36:41.012,3,hatalom,tanár,barát,,,,,,,,,
47,000BFB801C2393E58489EB2F92B54426,61,3,2021-11-10 13:36:45.734,2021-11-10 13:37:50.976,6,iskola,zebra,pénz,barát,álom,gomb,,,,,,
48,6575431E478B796ABAE676004C0C22AA,94,2,2021-11-10 13:36:48.215,2021-11-10 13:37:33.915,3,mozi,üveg,zebra,,,,,,,,,
49,BE5ABEA34DF0F3F9BE35CD8EA7B0C4E3,16,7,2021-11-10 13:37:15.118,2021-11-10 13:38:29.857,2,sötét,park,,,,,,,,,,
50,6575431E478B796ABAE676004C0C22AA,3,6,2021-11-10 13:37:49.467,2021-11-10 13:39:00.911,5,teherautó,benzin,olaj,harang,bánya,,,,,,,
51,000BFB801C2393E58489EB2F92B54426,26,2,2021-11-10 13:37:58.582,2021-11-10 13:38:29.528,4,figura,kocka,árnyék,szív,,,,,,,,
52,BE5ABEA34DF0F3F9BE35CD8EA7B0C4E3,91,4,2021-11-10 13:38:33.792,2021-11-10 13:39:55.675,2,forma,kormány,,,,,,,,,,
53,000BFB801C2393E58489EB2F92B54426,48,5,2021-11-10 13:38:53.152,2021-11-10 13:39:26.542,5,pálya,kormány,autó,élet,pilóta,,,,,,,
54,000BFB801C2393E58489EB2F92B54426,75,0,2021-11-10 13:39:28.8,2021-11-10 13:40:25.686,6,tiszta,olaj,virág,hideg,láda,szürke,,,,,,
55,6575431E478B796ABAE676004C0C22AA,96,0,2021-11-10 13:39:45.123,2021-11-10 13:42:22.154,5,ruha,szoknya,kritikus,szék,pohár,,,,,,,
56,BE5ABEA34DF0F3F9BE35CD8EA7B0C4E3,9,6,2021-11-10 13:39:58.634,2021-11-10 13:41:24.297,4,féreg,boszorkány,idegen,nehéz,,,,,,,,
57,000BFB801C2393E58489EB2F92B54426,17,5,2021-11-10 13:40:29.363,2021-11-10 13:42:36.952,3,gyémánt,rózsa,játék,,,,,,,,,
58,651CD7C98BFFDB133FD6BB66ADF342BA,29,0,2021-11-10 13:41:19.643,2021-11-10 13:41:52.478,5,toll,ügyvéd,tudós,puska,papír,,,,,,,
59,BE5ABEA34DF0F3F9BE35CD8EA7B0C4E3,42,0,2021-11-10 13:41:31.249,2021-11-10 13:43:00.473,5,iskola,szám,oszt,görög,vonal,,,,,,,
60,651CD7C98BFFDB133FD6BB66ADF342BA,47,4,2021-11-10 13:42:02.728,2021-11-10 13:42:33.615,2,függ,lovag,,,,,,,,,,
61,651CD7C98BFFDB133FD6BB66ADF342BA,77,6,2021-11-10 13:42:36.981,2021-11-10 13:43:23.059,6,boszorkány,csokoládé,csöpp,árnyék,üveg,ajtó,,,,,,
62,000BFB801C2393E58489EB2F92B54426,36,6,2021-11-10 13:42:38.865,2021-11-10 13:43:54.091,5,távolság,gomb,kormány,helikopter,ügynök,,,,,,,
63,6575431E478B796ABAE676004C0C22AA,92,1,2021-11-10 13:42:50.151,2021-11-10 13:43:18.957,2,kereszt,arany,,,,,,,,,,
64,BE5ABEA34DF0F3F9BE35CD8EA7B0C4E3,34,3,2021-11-10 13:43:17.655,2021-11-10 13:44:01.246,5,iskola,pisztoly,kard,határ,kártya,,,,,,,
65,6575431E478B796ABAE676004C0C22AA,99,5,2021-11-10 13:43:25.909,2021-11-10 13:43:50.316,3,telefon,gitár,zebra,,,,,,,,,
66,BE5ABEA34DF0F3F9BE35CD8EA7B0C4E3,35,3,2021-11-10 13:44:32.648,2021-11-10 13:45:40.109,6,forma,édes,király,királynő,forrás,csillag,,,,,,
67,6BEED0E07BFDBA74B118DEC5C44CB116,24,3,2021-11-10 13:53:51.039,2021-11-10 13:54:32.565,4,kölyök,zebra,ordít,boszorkány,,,,,,,,
68,6BEED0E07BFDBA74B118DEC5C44CB116,55,4,2021-11-10 13:54:36.581,2021-11-10 13:54:48.32,2,ügynök,álom,,,,,,,,,,
69,BDBB624856BB603C754F52B0FEB75E30,75,6,2021-11-10 14:00:40.766,2021-11-10 14:01:45.759,6,anya,tiszta,puska,egészség,elem,koncert,,,,,,
70,BDBB624856BB603C754F52B0FEB75E30,38,2,2021-11-10 14:02:02.495,2021-11-10 14:02:52.716,5,béka,görög,hajó,háló,szív,,,,,,,
71,BDBB624856BB603C754F52B0FEB75E30,32,4,2021-11-10 14:03:02.765,2021-11-10 14:03:30.879,4,láng,templom,kalóz,szél,,,,,,,,
72,A24069F08F5CA011C766A0CD0DC16E0D,81,4,2021-11-10 14:06:33.894,2021-11-10 14:06:54.443,2,ügynök,pálya,,,,,,,,,,
73,A24069F08F5CA011C766A0CD0DC16E0D,43,3,2021-11-10 14:07:02.79,2021-11-10 14:07:44.743,5,iskola,lovag,templom,harang,tudós,,,,,,,
74,A24069F08F5CA011C766A0CD0DC16E0D,27,1,2021-11-10 14:07:48.569,2021-11-10 14:08:05.514,2,szék,színház,,,,,,,,,,
75,A24069F08F5CA011C766A0CD0DC16E0D,97,5,2021-11-10 14:08:10.785,2021-11-10 14:08:26.603,3,mese,törpe,kalóz,,,,,,,,,
76,A24069F08F5CA011C766A0CD0DC16E0D,36,8,2021-11-10 14:08:29.445,2021-11-10 14:08:36.174,3,tányér,nyit,milliomos,,,,,,,,,
77,0A0C94B2AD410409EB94B587C33E919D,27,1,2021-11-10 14:24:56.211,2021-11-10 14:25:25.158,2,színház,szék,,,,,,,,,,
78,0A0C94B2AD410409EB94B587C33E919D,41,1,2021-11-10 14:25:53.041,2021-11-10 14:26:23.668,2,pisztoly,figura,,,,,,,,,,
79,0A0C94B2AD410409EB94B587C33E919D,96,4,2021-11-10 14:26:34.378,2021-11-10 14:26:46.52,2,szoknya,ruha,,,,,,,,,,
80,6D9C0E9F0D3F0862B787E9F9890E14C3,92,0,2021-11-10 14:39:03.275,2021-11-10 14:39:56.675,3,csizma,kereszt,ajtó,,,,,,,,,
81,6D9C0E9F0D3F0862B787E9F9890E14C3,63,3,2021-11-10 14:40:08.131,2021-11-10 14:41:12.47,6,kórház,központ,anyag,betegség,vitamin,ajtó,,,,,,
82,2FE378103C7B65623142934AB1CC860A,13,4,2021-11-10 14:47:01.074,2021-11-10 14:47:19.809,2,atom,föld,,,,,,,,,,
83,2FE378103C7B65623142934AB1CC860A,57,6,2021-11-10 14:47:24.155,2021-11-10 14:48:04.901,4,tüdő,száj,mozi,kutya,,,,,,,,
84,2FE378103C7B65623142934AB1CC860A,55,4,2021-11-10 14:48:07.859,2021-11-10 14:48:14.911,2,lámpa,ügynök,,,,,,,,,,
85,2FE378103C7B65623142934AB1CC860A,18,6,2021-11-10 14:48:16.437,2021-11-10 14:49:04.966,5,hideg,kemény,torony,tanár,kaszinó,,,,,,,
86,2FE378103C7B65623142934AB1CC860A,17,8,2021-11-10 14:49:07.635,2021-11-10 14:49:40.88,3,rózsa,élet,halál,,,,,,,,,
87,2FE378103C7B65623142934AB1CC860A,51,8,2021-11-10 14:49:43.228,2021-11-10 14:49:59.714,3,szén,tető,lámpa,,,,,,,,,
88,2FE378103C7B65623142934AB1CC860A,46,2,2021-11-10 14:50:01.802,2021-11-10 14:50:14.926,3,lyuk,szikra,arany,,,,,,,,,
89,2FE378103C7B65623142934AB1CC860A,27,8,2021-11-10 14:50:53.458,2021-11-10 14:51:28.035,3,betegség,koporsó,csempész,,,,,,,,,
90,CE5890F08571C73714193B2057EF0C63,52,8,2021-11-10 14:53:44.395,2021-11-10 14:55:00.439,3,hatalom,szín,udvar,,,,,,,,,
91,CE5890F08571C73714193B2057EF0C63,71,7,2021-11-10 14:55:07.701,2021-11-10 14:56:03.591,2,volt,szakasz,,,,,,,,,,
92,CE5890F08571C73714193B2057EF0C63,93,7,2021-11-10 14:56:08.03,2021-11-10 14:56:38.237,2,kréta,nyit,,,,,,,,,,
93,CE5890F08571C73714193B2057EF0C63,82,8,2021-11-10 14:56:44.4,2021-11-10 14:57:10.202,5,rendőr,katona,térkép,medve,gerinc,,,,,,,
94,BE2FA3D30DB0D527078C18FA1B8A1F20,36,4,2021-11-10 15:32:32.515,2021-11-10 15:33:32.724,2,helikopter,kormány,,,,,,,,,,
95,89BDEF3E85C74161DEB0CC55964EC8D1,87,8,2021-11-10 15:32:48.688,2021-11-10 15:33:02.405,3,vonal,kréta,mező,,,,,,,,,
96,89BDEF3E85C74161DEB0CC55964EC8D1,40,0,2021-11-10 15:33:05.102,2021-11-10 15:33:31.4,6,kórház,orvos,kulcs,kard,kormány,daru,,,,,,
97,89BDEF3E85C74161DEB0CC55964EC8D1,6,1,2021-11-10 15:33:34.827,2021-11-10 15:33:49.21,2,bomba,anyag,,,,,,,,,,
98,89BDEF3E85C74161DEB0CC55964EC8D1,52,2,2021-11-10 15:33:50.698,2021-11-10 15:34:09.843,3,hatalom,kereszt,gerinc,,,,,,,,,
99,1571A3AA3B48D8443DD653FDA08C8909,37,7,2021-11-10 15:36:26.536,2021-11-10 15:37:39.988,2,nyit,zebra,,,,,,,,,,
100,1571A3AA3B48D8443DD653FDA08C8909,60,5,2021-11-10 15:37:49.487,2021-11-10 15:38:43.026,3,stadion,háló,torony,,,,,,,,,
101,BFC6E4874F37BAEC59E8B72D2874BEE1,42,7,2021-11-10 15:40:19.321,2021-11-10 15:40:37.934,2,körte,bomba,,,,,,,,,,
102,5FBC1DD2C0A6E0A1872D43EB1516ED00,3,2,2021-11-10 15:40:27.029,2021-11-10 15:41:15.586,3,ordít,bíró,templom,,,,,,,,,
103,BFC6E4874F37BAEC59E8B72D2874BEE1,60,4,2021-11-10 15:40:44.764,2021-11-10 15:41:08.454,2,hold,alak,,,,,,,,,,
104,BFC6E4874F37BAEC59E8B72D2874BEE1,40,8,2021-11-10 15:41:29.657,2021-11-10 15:42:26.722,3,nyit,kulcs,udvar,,,,,,,,,
105,5FBC1DD2C0A6E0A1872D43EB1516ED00,99,6,2021-11-10 15:42:04.099,2021-11-10 15:43:41.538,5,baba,kulcs,tojás,anyag,telefon,,,,,,,
106,BFC6E4874F37BAEC59E8B72D2874BEE1,82,3,2021-11-10 15:42:28.944,2021-11-10 15:43:14.94,5,szén,térkép,forma,játék,cirkusz,,,,,,,
107,1DC98FD84BEB630A26467FDD4C7C28D6,82,4,2021-11-10 15:43:11.177,2021-11-10 15:43:30.396,2,szél,éjszaka,,,,,,,,,,
108,1DC98FD84BEB630A26467FDD4C7C28D6,25,8,2021-11-10 15:43:35.225,2021-11-10 15:44:15.43,3,kölyök,nővér,robot,,,,,,,,,
109,BFC6E4874F37BAEC59E8B72D2874BEE1,34,2,2021-11-10 15:43:48.207,2021-11-10 15:44:13.181,3,zseni,kritikus,amazon,,,,,,,,,
110,1DC98FD84BEB630A26467FDD4C7C28D6,80,7,2021-11-10 15:44:19.241,2021-11-10 15:44:51.259,2,kormány,határ,,,,,,,,,,
111,BFC6E4874F37BAEC59E8B72D2874BEE1,72,0,2021-11-10 15:44:19.585,2021-11-10 15:45:29.997,6,távolság,kormány,puska,hullám,olaj,kereszt,,,,,,
112,1DC98FD84BEB630A26467FDD4C7C28D6,95,3,2021-11-10 15:44:53.257,2021-11-10 15:46:06.854,6,föld,kulcs,cirkusz,mozi,cipő,csizma,,,,,,
113,5FBC1DD2C0A6E0A1872D43EB1516ED00,55,2,2021-11-10 15:45:20.207,2021-11-10 15:45:42.026,3,lámpa,láng,álom,,,,,,,,,
114,5FBC1DD2C0A6E0A1872D43EB1516ED00,81,2,2021-11-10 15:45:46.762,2021-11-10 15:46:37.46,5,keret,taxi,ügynök,pálya,mező,,,,,,,
115,1DC98FD84BEB630A26467FDD4C7C28D6,50,1,2021-11-10 15:46:12.505,2021-11-10 15:46:40.74,2,kölyök,halál,,,,,,,,,,
116,BFC6E4874F37BAEC59E8B72D2874BEE1,43,2,2021-11-10 15:46:41.768,2021-11-10 15:47:02.381,4,templom,iskola,lovag,forrás,,,,,,,,
117,1DC98FD84BEB630A26467FDD4C7C28D6,38,5,2021-11-10 15:46:42.67,2021-11-10 15:47:12.825,3,béka,műanyag,hajó,,,,,,,,,
118,5FBC1DD2C0A6E0A1872D43EB1516ED00,79,2,2021-11-10 15:46:43.472,2021-11-10 15:47:05.625,3,milliomos,medve,határ,,,,,,,,,
119,5FBC1DD2C0A6E0A1872D43EB1516ED00,39,5,2021-11-10 15:47:12.077,2021-11-10 15:47:43.206,4,erdő,idegen,háború,hercegnő,,,,,,,,
120,1DC98FD84BEB630A26467FDD4C7C28D6,76,8,2021-11-10 15:47:14.861,2021-11-10 15:47:51.702,3,csöpp,hullám,csomó,,,,,,,,,
121,BFC6E4874F37BAEC59E8B72D2874BEE1,59,3,2021-11-10 15:47:48.715,2021-11-10 15:48:26.144,5,ruha,körte,kerek,nehéz,béka,,,,,,,
122,5FBC1DD2C0A6E0A1872D43EB1516ED00,60,4,2021-11-10 15:48:15.319,2021-11-10 15:48:42.681,4,árnyék,hold,alak,banán,,,,,,,,
123,BFC6E4874F37BAEC59E8B72D2874BEE1,56,7,2021-11-10 15:48:29.825,2021-11-10 15:48:51.518,2,királynő,pénz,,,,,,,,,,
124,BFC6E4874F37BAEC59E8B72D2874BEE1,7,2,2021-11-10 15:48:54.123,2021-11-10 15:49:39.473,3,betegség,szív,görög,,,,,,,,,
125,5FBC1DD2C0A6E0A1872D43EB1516ED00,35,8,2021-11-10 15:48:57.128,2021-11-10 15:49:36.616,5,forma,szem,papír,kulcs,édes,,,,,,,
126,4110C7D28B8F458985E2B0E6C2DE755C,25,7,2021-11-10 15:49:09.935,2021-11-10 15:50:07.775,2,nyit,hullám,,,,,,,,,,
127,BFC6E4874F37BAEC59E8B72D2874BEE1,78,8,2021-11-10 15:49:41.827,2021-11-10 15:50:20.799,3,sajt,méreg,tavasz,,,,,,,,,
128,BFC6E4874F37BAEC59E8B72D2874BEE1,58,2,2021-11-10 15:50:25.349,2021-11-10 15:50:55.733,3,élet,kereszt,lélek,,,,,,,,,
129,5FBC1DD2C0A6E0A1872D43EB1516ED00,2,5,2021-11-10 15:50:54.046,2021-11-10 15:51:13.463,3,hajó,háború,pálya,,,,,,,,,
130,BFC6E4874F37BAEC59E8B72D2874BEE1,0,7,2021-11-10 15:50:58.467,2021-11-10 15:51:22.266,2,puska,vonal,,,,,,,,,,
131,62207543914871186E257CF4CB19F655,34,0,2021-11-10 15:51:04.732,2021-11-10 15:51:17.636,5,műanyag,pálya,asztal,amazon,torta,,,,,,,
132,5FBC1DD2C0A6E0A1872D43EB1516ED00,22,8,2021-11-10 15:51:16.504,2021-11-10 15:51:53.259,3,gerinc,kormány,gomb,,,,,,,,,
133,BFC6E4874F37BAEC59E8B72D2874BEE1,52,4,2021-11-10 15:51:24.169,2021-11-10 15:51:42.673,2,hajt,kártya,,,,,,,,,,
134,BFC6E4874F37BAEC59E8B72D2874BEE1,95,2,2021-11-10 15:51:48.224,2021-11-10 15:52:03.379,3,csizma,távolság,cipő,,,,,,,,,
135,5FBC1DD2C0A6E0A1872D43EB1516ED00,51,4,2021-11-10 15:51:56.758,2021-11-10 15:52:06.821,2,világos,kerek,,,,,,,,,,
136,5FBC1DD2C0A6E0A1872D43EB1516ED00,17,2,2021-11-10 15:52:27.991,2021-11-10 15:52:51.241,3,rózsa,gyémánt,sárkány,,,,,,,,,
137,BFC6E4874F37BAEC59E8B72D2874BEE1,97,6,2021-11-10 15:52:28.358,2021-11-10 15:52:56.268,5,haza,csempész,kalóz,iskola,anyag,,,,,,,
138,5FBC1DD2C0A6E0A1872D43EB1516ED00,52,3,2021-11-10 15:52:53.57,2021-11-10 15:53:18.77,6,hajt,angyal,baba,udvar,kereszt,gitár,,,,,,
139,5FBC1DD2C0A6E0A1872D43EB1516ED00,54,8,2021-11-10 15:54:17.294,2021-11-10 15:54:59.259,3,óriás,koporsó,homok,,,,,,,,,
140,BFC6E4874F37BAEC59E8B72D2874BEE1,18,4,2021-11-10 15:54:19.177,2021-11-10 15:54:36.219,2,hideg,kemény,,,,,,,,,,
141,BFC6E4874F37BAEC59E8B72D2874BEE1,69,5,2021-11-10 15:54:38.186,2021-11-10 15:55:10.977,3,kutya,tánc,hotel,,,,,,,,,
142,5FBC1DD2C0A6E0A1872D43EB1516ED00,58,8,2021-11-10 15:55:02.915,2021-11-10 15:55:46.673,4,nyom,levél,kórház,gumi,,,,,,,,
143,BFC6E4874F37BAEC59E8B72D2874BEE1,21,3,2021-11-10 15:55:12.698,2021-11-10 15:57:08.875,6,forrás,park,halál,térkép,kemény,négyzet,,,,,,
144,5FBC1DD2C0A6E0A1872D43EB1516ED00,49,5,2021-11-10 15:55:50.143,2021-11-10 15:56:23.253,5,part,csavar,orvos,tánc,fűszer,,,,,,,
145,C20CC45993258376C42A2DADCC8DCD04,84,5,2021-11-10 15:56:19.013,2021-11-10 15:59:21.005,3,kenyér,leves,üveg,,,,,,,,,
146,5FBC1DD2C0A6E0A1872D43EB1516ED00,65,6,2021-11-10 15:56:35.877,2021-11-10 15:57:27.13,8,szél,udvar,stadion,kórház,kaszinó,asztal,cirkusz,láda,,,,
147,B28F57AF9318638B0376DD66F34D8B13,33,1,2021-11-10 15:57:46.01,2021-11-10 15:58:31.895,2,kard,arany,,,,,,,,,,
148,B28F57AF9318638B0376DD66F34D8B13,98,1,2021-11-10 15:58:36.798,2021-11-10 15:59:07.985,2,zseni,cirkusz,,,,,,,,,,
149,D3617C8109A9F4C83FDD48E3340E5D73,44,1,2021-11-10 15:58:51.546,2021-11-10 15:59:13.913,2,kaszinó,egyenes,,,,,,,,,,
150,B28F57AF9318638B0376DD66F34D8B13,36,8,2021-11-10 15:59:15.27,2021-11-10 16:00:23.859,3,helikopter,kormány,park,,,,,,,,,
151,D3617C8109A9F4C83FDD48E3340E5D73,90,3,2021-11-10 15:59:18.796,2021-11-10 15:59:55.561,4,templom,csillag,szerencse,követ,,,,,,,,
152,C20CC45993258376C42A2DADCC8DCD04,55,2,2021-11-10 15:59:37,2021-11-10 16:00:08.714,3,álom,láng,lámpa,,,,,,,,,
153,ED230D3B448B6E20AB9984B9396A14FB,90,1,2021-11-10 15:59:37.059,2021-11-10 16:00:18.116,2,templom,amazon,,,,,,,,,,
154,ED230D3B448B6E20AB9984B9396A14FB,55,6,2021-11-10 16:00:25.873,2021-11-10 16:03:25.614,5,csöpp,láda,lámpa,ügyvéd,denevér,,,,,,,
155,C20CC45993258376C42A2DADCC8DCD04,5,7,2021-11-10 16:01:07.556,2021-11-10 16:01:32.128,3,opera,stadion,haza,,,,,,,,,
156,798AB6AF4DD93DB3A433C1A1A2E35A53,49,3,2021-11-10 16:03:09.905,2021-11-10 16:03:40.214,5,part,árnyék,szén,kritikus,hideg,,,,,,,
157,798AB6AF4DD93DB3A433C1A1A2E35A53,61,7,2021-11-10 16:03:46.16,2021-11-10 16:04:22.769,2,kártya,pénz,,,,,,,,,,
158,ED230D3B448B6E20AB9984B9396A14FB,34,2,2021-11-10 16:04:21.876,2021-11-10 16:04:57.575,3,torta,csokoládé,asztal,,,,,,,,,
159,ED230D3B448B6E20AB9984B9396A14FB,51,2,2021-11-10 16:05:03.705,2021-11-10 16:05:28.426,3,távolság,gazda,part,,,,,,,,,
160,ED230D3B448B6E20AB9984B9396A14FB,21,8,2021-11-10 16:05:30.693,2021-11-10 16:06:07.323,3,park,térkép,négyzet,,,,,,,,,
161,ED230D3B448B6E20AB9984B9396A14FB,96,6,2021-11-10 16:06:11.571,2021-11-10 16:07:14.604,6,pohár,háló,körte,tető,szoknya,atom,,,,,,
162,ED230D3B448B6E20AB9984B9396A14FB,39,3,2021-11-10 16:07:22.67,2021-11-10 16:08:16.265,7,idegen,háború,haza,szín,erdő,rendőr,lovag,,,,,
163,026A641814A42CDEDDD5F351A767A2E2,72,7,2021-11-10 16:07:38.299,2021-11-10 16:08:22.318,2,távolság,hullám,,,,,,,,,,
164,ED230D3B448B6E20AB9984B9396A14FB,14,6,2021-11-10 16:08:21.184,2021-11-10 16:08:37.081,4,barát,kaszinó,tánc,élet,,,,,,,,
